name,priority,descriptions,start,end,sprintId,status,tag,topics,assigneeId,reviewerId,subtasks,complexOfDescription,sprint,projectId,project_map,sprint_map,uniId,id
Thiết kế Use Case và luồng nghiệp vụ điện thoại,MAJOR,<p>Vẽ Use Case Diagram và mô tả các luồng nghiệp vụ chính của website điện thoại.</p>,2025-02-23,2025-03-05,sprint3_project2,INPROCESS,PRACTICE,Document,21130509,21130451,Xác định kịch bản - Vẽ sơ đồ hoạt động,MEDIUM,3,project2,9d8280d3-4095-4b0a-a51d-df8cabea7248,99d36620-1576-4e19-99fb-c132541b860f,21130451,
Thiết kế giao diện người dùng cơ bản (HTML/CSS),MAJOR,"<p>Xây dựng các trang tĩnh cơ bản như trang chủ, trang giới thiệu bằng HTML và CSS.</p>",2025-02-25,2025-03-07,sprint3_project2,TODO,PRACTICE,HTML-CSS,21130451,21130444,Lên layout - Thiết kế style guide,MEDIUM,3,project2,9d8280d3-4095-4b0a-a51d-df8cabea7248,99d36620-1576-4e19-99fb-c132541b860f,21130451,
Cấu hình dự án Spring Boot ban đầu,MINOR,"<p>Khởi tạo project Spring Boot, cấu hình dependency và database connection.</p>",2025-02-27,2025-03-09,sprint3_project2,TODO,PRACTICE,Spring,21130444,21130509,Cài đặt Maven/Gradle - Cấu hình JPA,LOW,3,project2,9d8280d3-4095-4b0a-a51d-df8cabea7248,99d36620-1576-4e19-99fb-c132541b860f,21130451,
Phát triển đăng nhập/đăng ký cho người dùng,MAJOR,"<p>Xây dựng module đăng nhập, đăng ký và quản lý thông tin tài khoản người dùng.</p>",2025-03-09,2025-03-13,sprint4_project2,INPROCESS,PRACTICE,Spring,21130451,21130444,Tạo bảng user - Xử lý mã hóa mật khẩu,MEDIUM,4,project2,9d8280d3-4095-4b0a-a51d-df8cabea7248,eb648995-761c-42b7-9a55-2e2a8d67acae,21130451,
Xây dựng API quản lý người dùng (Backend),MAJOR,"<p>Phát triển các API RESTful cho việc thêm, sửa, xóa, lấy thông tin người dùng.</p>",2025-03-10,2025-03-14,sprint4_project2,TODO,PRACTICE,Spring,21130444,21130509,Thiết kế endpoint - Xử lý logic nghiệp vụ,MEDIUM,4,project2,9d8280d3-4095-4b0a-a51d-df8cabea7248,eb648995-761c-42b7-9a55-2e2a8d67acae,21130451,
Phát triển giao diện đăng nhập/đăng ký (ReactJS),MAJOR,<p>Xây dựng các component React cho trang đăng nhập và đăng ký.</p>,2025-03-12,2025-03-16,sprint4_project2,TODO,PRACTICE,ReactJS,21130509,21130451,Thiết kế form - Tích hợp API,MEDIUM,4,project2,9d8280d3-4095-4b0a-a51d-df8cabea7248,eb648995-761c-42b7-9a55-2e2a8d67acae,21130451,
Xây dựng trang danh sách sản phẩm điện thoại,MAJOR,"<p>Hiển thị danh sách các mẫu điện thoại, có chức năng lọc theo hãng, giá, cấu hình.</p>",2025-03-16,2025-03-25,sprint5_project2,INPROCESS,PRACTICE,ReactJS-Spring,21130444,21130509,Thiết kế bộ lọc - Tích hợp dữ liệu sản phẩm,MEDIUM,5,project2,9d8280d3-4095-4b0a-a51d-df8cabea7248,f47550be-910c-44a4-b293-eab3ee6aca92,21130451,
Phát triển API quản lý sản phẩm (Backend),MAJOR,"<p>Xây dựng API cho các chức năng liên quan đến sản phẩm: thêm, sửa, xóa, tìm kiếm.</p>",2025-03-18,2025-03-27,sprint5_project2,TODO,PRACTICE,Spring,21130509,21130451,Thiết kế endpoint - Xử lý logic nghiệp vụ,MEDIUM,5,project2,9d8280d3-4095-4b0a-a51d-df8cabea7248,f47550be-910c-44a4-b293-eab3ee6aca92,21130451,
Xây dựng trang chi tiết sản phẩm điện thoại,MAJOR,"<p>Hiện thực trang chi tiết sản phẩm bao gồm hình ảnh, mô tả, thông số kỹ thuật.</p>",2025-03-20,2025-03-29,sprint5_project2,TODO,PRACTICE,ReactJS,21130451,21130444,Thiết kế layout - Tích hợp API sản phẩm,MEDIUM,5,project2,9d8280d3-4095-4b0a-a51d-df8cabea7248,f47550be-910c-44a4-b293-eab3ee6aca92,21130451,
Hiện thực chức năng giỏ hàng và đặt hàng điện thoại,MAJOR,"<p>Phát triển chức năng thêm sản phẩm vào giỏ hàng, cập nhật số lượng, và tạo đơn hàng.</p>",2025-03-30,2025-04-08,sprint6_project2,INPROCESS,PRACTICE,Spring,21130509,21130451,Lưu trữ giỏ hàng - Xử lý thông tin địa chỉ,MEDIUM,6,project2,9d8280d3-4095-4b0a-a51d-df8cabea7248,f8bdf08c-c32d-4863-86b2-44a36a756fac,21130451,
Tích hợp thanh toán online cho điện thoại,CRITICAL,<p>Tích hợp các phương thức thanh toán điện tử phổ biến cho các đơn hàng điện thoại.</p>,2025-04-03,2025-04-12,sprint6_project2,TODO,PRACTICE,Spring,21130451,21130444,Kết nối API thanh toán - Kiểm tra giao dịch,HIGH,6,project2,9d8280d3-4095-4b0a-a51d-df8cabea7248,f8bdf08c-c32d-4863-86b2-44a36a756fac,21130451,
Xây dựng API cho chức năng giỏ hàng và đặt hàng,MAJOR,<p>Phát triển các API backend để quản lý giỏ hàng và xử lý đơn hàng.</p>,2025-04-05,2025-04-14,sprint6_project2,TODO,PRACTICE,Spring,21130444,21130509,Thiết kế endpoint - Xử lý logic giỏ hàng,MEDIUM,6,project2,9d8280d3-4095-4b0a-a51d-df8cabea7248,f8bdf08c-c32d-4863-86b2-44a36a756fac,21130451,
Phát triển chức năng tìm kiếm sản phẩm điện thoại,MAJOR,"<p>Hiện thực tính năng tìm kiếm sản phẩm theo từ khóa, hãng, giá.</p>",2025-04-13,2025-04-22,sprint7_project2,TODO,PRACTICE,Spring,21130451,21130444,Thiết kế thuật toán tìm kiếm - Tối ưu hiệu suất,MEDIUM,7,project2,9d8280d3-4095-4b0a-a51d-df8cabea7248,697b373f-2d73-48e9-90d4-ab516cc7d2aa,21130451,
Tối ưu hóa giao diện người dùng (UI/UX),MINOR,"<p>Cải thiện trải nghiệm người dùng, tối ưu hóa tốc độ tải trang frontend.</p>",2025-04-15,2025-04-24,sprint7_project2,TODO,PRACTICE,CSS-JS,21130444,21130509,Refactor CSS - Nén JavaScript,LOW,7,project2,9d8280d3-4095-4b0a-a51d-df8cabea7248,697b373f-2d73-48e9-90d4-ab516cc7d2aa,21130451,
Xây dựng chức năng quản lý khuyến mãi/mã giảm giá,MAJOR,<p>Phát triển API và giao diện để quản lý các chương trình khuyến mãi.</p>,2025-04-17,2025-04-26,sprint7_project2,TODO,PRACTICE,Spring-ReactJS,21130509,21130451,Thiết kế CSDL khuyến mãi - Phát triển form quản lý,MEDIUM,7,project2,9d8280d3-4095-4b0a-a51d-df8cabea7248,697b373f-2d73-48e9-90d4-ab516cc7d2aa,21130451,
Triển khai môi trường Dev/Staging với Docker,MAJOR,<p>Đóng gói ứng dụng backend và frontend vào Docker containers và triển khai trên môi trường thử nghiệm.</p>,2025-04-27,2025-05-01,sprint8_project2,TODO,PRACTICE,Docker-Deployment,21130451,21130444,Viết Dockerfile - Cấu hình Docker Compose,MEDIUM,8,project2,9d8280d3-4095-4b0a-a51d-df8cabea7248,ca990a18-1ecf-4677-b4f5-ff3f9c679fe3,21130451,
Tối ưu hóa hiệu năng cơ sở dữ liệu,MAJOR,"<p>Tối ưu các truy vấn SQL, thêm index để cải thiện tốc độ phản hồi của ứng dụng.</p>",2025-04-29,2025-05-03,sprint8_project2,TODO,PRACTICE,Java,21130444,21130509,Phân tích truy vấn chậm - Tối ưu index,MEDIUM,8,project2,9d8280d3-4095-4b0a-a51d-df8cabea7248,ca990a18-1ecf-4677-b4f5-ff3f9c679fe3,21130451,
Kiểm thử chức năng website điện thoại,MAJOR,"<p>Thực hiện kiểm thử các chức năng chính của website như đăng nhập, giỏ hàng, thanh toán.</p>",2025-05-04,2025-05-08,sprint9_project2,TODO,PRACTICE,Deployment,21130444,21130509,Lập test case - Ghi nhận lỗi,MEDIUM,9,project2,9d8280d3-4095-4b0a-a51d-df8cabea7248,4c814469-68fa-494a-9e93-90ccff9d6eaa,21130451,
Chuẩn bị tài liệu hướng dẫn sử dụng và triển khai,MAJOR,<p>Tạo tài liệu hướng dẫn cho người dùng cuối và tài liệu kỹ thuật cho việc triển khai.</p>,2025-05-05,2025-05-09,sprint9_project2,TODO,THEORY,Document,21130509,21130451,Viết hướng dẫn sử dụng - Lập tài liệu kỹ thuật,MEDIUM,9,project2,9d8280d3-4095-4b0a-a51d-df8cabea7248,4c814469-68fa-494a-9e93-90ccff9d6eaa,21130451,
Triển khai lên môi trường Production,CRITICAL,"<p>Tiến hành triển khai ứng dụng lên server production, đảm bảo hoạt động ổn định.</p>",2025-05-06,2025-05-10,sprint9_project2,TODO,PRACTICE,Deployment,21130451,21130444,Cấu hình server - Kiểm tra sau triển khai,HIGH,9,project2,9d8280d3-4095-4b0a-a51d-df8cabea7248,4c814469-68fa-494a-9e93-90ccff9d6eaa,21130451,
Phân tích thị trường đồ handmade,MAJOR,<p>Nghiên cứu thị hiếu khách hàng và các sản phẩm handmade đang thịnh hành.</p>,2025-02-09,2025-02-13,sprint1_project3,DONE,THEORY,Document,21130601,21130612,Phân tích đối tượng - Đánh giá xu hướng,MEDIUM,1,project3,eb7eb335-236d-47f6-82b6-7ae51d847898,d1e3dfdf-dfac-4693-bb79-fa08d8aad9fc,21130601,
Xác định phạm vi dự án và yêu cầu người dùng,MAJOR,<p>Định nghĩa các chức năng chính và các yêu cầu từ người dùng cho website handmade.</p>,2025-02-10,2025-02-14,sprint1_project3,DONE,THEORY,Document,21130612,21130219,Xác định Use Case - Phỏng vấn khách hàng,MEDIUM,1,project3,eb7eb335-236d-47f6-82b6-7ae51d847898,d1e3dfdf-dfac-4693-bb79-fa08d8aad9fc,21130601,
Thiết lập môi trường làm việc nhóm,MINOR,<p>Cấu hình Git Repository và các công cụ quản lý dự án cho nhóm.</p>,2025-02-11,2025-02-15,sprint1_project3,DONE,PRACTICE,Deployment,21130219,21130601,Tạo Git Repo - Cấu hình Jira/Trello,LOW,1,project3,eb7eb335-236d-47f6-82b6-7ae51d847898,d1e3dfdf-dfac-4693-bb79-fa08d8aad9fc,21130601,
Xác định yêu cầu hệ thống và công nghệ,MAJOR,"<p>Thu thập yêu cầu và lựa chọn công nghệ (front-end, back-end) phù hợp cho web handmade.</p>",2025-02-16,2025-02-20,sprint2_project3,INPROCESS,THEORY,Document,21130612,21130219,Xác định tính năng cốt lõi - Đề xuất stack công nghệ,MEDIUM,2,project3,eb7eb335-236d-47f6-82b6-7ae51d847898,f87463f4-3d2c-49f1-9f20-a4510eb0728f,21130601,
Thiết kế CSDL và lược đồ quan hệ,MAJOR,"<p>Thiết kế ERD và các bảng cơ sở dữ liệu cho sản phẩm, người dùng, đơn hàng.</p>",2025-02-17,2025-02-21,sprint2_project3,TODO,PRACTICE,Document,21130219,21130601,Vẽ ERD - Xác định khóa chính/phụ,MEDIUM,2,project3,eb7eb335-236d-47f6-82b6-7ae51d847898,f87463f4-3d2c-49f1-9f20-a4510eb0728f,21130601,
Lựa chọn và cấu hình framework Backend (NestJs),MAJOR,"<p>Khởi tạo dự án NestJs, cấu hình module, controller, service ban đầu.</p>",2025-02-18,2025-02-22,sprint2_project3,TODO,PRACTICE,NestJs,21130601,21130612,Cài đặt Nest CLI - Cấu hình TypeORM,MEDIUM,2,project3,eb7eb335-236d-47f6-82b6-7ae51d847898,f87463f4-3d2c-49f1-9f20-a4510eb0728f,21130601,
Thiết kế giao diện người dùng (UI) shop handmade,MAJOR,<p>Thiết kế wireframe và mockup cho các trang chính của website handmade.</p>,2025-02-23,2025-03-05,sprint3_project3,INPROCESS,PRACTICE,HTML-CSS,21130219,21130601,Vẽ wireframe - Tạo mockup,MEDIUM,3,project3,eb7eb335-236d-47f6-82b6-7ae51d847898,99d36620-1576-4e19-99fb-c132541b860f,21130601,
Phát triển giao diện trang chủ và header/footer,MAJOR,"<p>Code HTML và CSS cho trang chủ, các thành phần chung như header và footer.</p>",2025-02-25,2025-03-07,sprint3_project3,TODO,PRACTICE,HTML-CSS,21130601,21130612,Thiết kế responsive - Tối ưu CSS,MEDIUM,3,project3,eb7eb335-236d-47f6-82b6-7ae51d847898,99d36620-1576-4e19-99fb-c132541b860f,21130601,
Xây dựng module xác thực (Authentication) cơ bản,MAJOR,<p>Phát triển API cho chức năng đăng ký và đăng nhập người dùng.</p>,2025-02-27,2025-03-09,sprint3_project3,TODO,PRACTICE,NestJs,21130612,21130219,Thiết kế schema User - Viết API login/register,MEDIUM,3,project3,eb7eb335-236d-47f6-82b6-7ae51d847898,99d36620-1576-4e19-99fb-c132541b860f,21130601,
Hiện thực chức năng đăng nhập/đăng ký,MAJOR,"<p>Xây dựng form đăng nhập, đăng ký và logic xử lý tài khoản người dùng.</p>",2025-03-09,2025-03-13,sprint4_project3,INPROCESS,PRACTICE,NestJs,21130601,21130612,Xây dựng API authentication - Thiết kế form,MEDIUM,4,project3,eb7eb335-236d-47f6-82b6-7ae51d847898,eb648995-761c-42b7-9a55-2e2a8d67acae,21130601,
Phát triển giao diện quản lý người dùng (ReactJS),MAJOR,<p>Xây dựng các component React để hiển thị và quản lý danh sách người dùng.</p>,2025-03-11,2025-03-15,sprint4_project3,TODO,PRACTICE,ReactJS,21130612,21130219,Thiết kế bảng - Tích hợp API User,MEDIUM,4,project3,eb7eb335-236d-47f6-82b6-7ae51d847898,eb648995-761c-42b7-9a55-2e2a8d67acae,21130601,
