name	priority	descriptions	start	end	sprintId	status	tag	topics	topics_mapper	assigneeId	reviewerId	subtasks	complexOfDescription	sprint	projectId	uniId	Unnamed: 17	Tag gốc	Tag ánh xạ	id
Quản lý & cập nhật trạng thái đơn hàng (Admin)	CRITICAL	Xây dựng giao diện admin để quản lý, cập nhật trạng thái đơn hàng (chờ xử lý, đang giao, đã giao).	2025-05-22	2025-05-24	55737e22-cac3-411e-96a1-b5b1a1488b61	TODO	PRACTICE	Java, JSP, JDBC, JDBI, HTML, CSS, JS	Java, JSP, JDBC, JDBI, HTML, CSS, JS	21130416.0	21130319.0	Bảng đơn hàng - Chức năng update - Lịch sử thay đổi	HIGH	8.0	dc9af886-7862-4815-9876-037e5440de12	21130320		event-registration-ticket-selection	Java, JS	
Tích hợp cổng thanh toán trực tuyến	CRITICAL	Nghiên cứu và tích hợp một cổng thanh toán (ví dụ: Momo, VNPay) cho website.	2025-05-25	2025-05-28	00f6f2eb-2153-40a6-b2f3-8f4837ba3a3c	INPROCESS	PRACTICE	Java	Java	21130319.0	21130320.0	Nghiên cứu API - Triển khai - Test thanh toán	HIGH	9.0	dc9af886-7862-4815-9876-037e5440de12	21130320		event-management-panel	Java, JSP, JDBC	
Chức năng đánh giá sản phẩm	MAJOR	Hiện thực tính năng cho phép người dùng đánh giá và bình luận về sản phẩm.	2025-05-27	2025-05-31	00f6f2eb-2153-40a6-b2f3-8f4837ba3a3c	TODO	PRACTICE	Java, JSP, JDBC, JDBI, HTML, CSS, JS	Java, JSP, JDBC, JDBI, HTML, CSS, JS	21130320.0	21130416.0	Form đánh giá - Hiển thị review - Phân loại sao	MEDIUM	9.0	dc9af886-7862-4815-9876-037e5440de12	21130320		attendee-management-panel	Java, JSP, JDBC	
Chuẩn bị tài liệu hướng dẫn sử dụng	MAJOR	Viết tài liệu chi tiết hướng dẫn người dùng cuối và quản trị viên sử dụng website.	2025-06-01	2025-06-04	14d6b9c2-92f2-4ebb-8ef6-fa89a0233449	INPROCESS	THEORY	(Không có topic kỹ thuật trực tiếp)	(Không có topic kỹ thuật trực tiếp)	21130416.0	21130319.0	Hướng dẫn user - Hướng dẫn admin - Chụp màn hình	MEDIUM	10.0	dc9af886-7862-4815-9876-037e5440de12	21130320		admin-panel-crud	Java, JSP, JDBC	
Chuẩn bị demo website hoàn chỉnh	CRITICAL	Kiểm tra toàn bộ các tính năng, đảm bảo website hoạt động ổn định và sẵn sàng cho buổi báo cáo cuối kì.	2025-06-03	2025-06-07	14d6b9c2-92f2-4ebb-8ef6-fa89a0233449	TODO	PRACTICE	Java, JSP, JDBC, JDBI, HTML, CSS, JS	Java, JSP, JDBC, JDBI, HTML, CSS, JS	21130319.0	21130320.0	Test chức năng - Fix bugs - Tối ưu hiệu suất	HIGH	10.0	dc9af886-7862-4815-9876-037e5440de12	21130320		seller-panel-crud	Java, JSP, JDBC	
Phân tích đối tượng khách hàng sách	MAJOR	Xác định chân dung khách hàng mục tiêu, sở thích đọc, thói quen mua sắm, độ tuổi.	2025-03-10	2025-03-15	bbfddaeb-dea5-4178-b067-e0fa8812c338	DONE	THEORY	(Không có topic kỹ thuật trực tiếp)	(Không có topic kỹ thuật trực tiếp)	21130451.0	21130444.0	Khảo sát độc giả - Phân tích nhân khẩu học	LOW	1.0	3438c873-bc50-42c4-a598-1ed31761fe23	21130451		order-management-admin-seller	Java, JDBC	
Nghiên cứu các nền tảng sách hiện có	MAJOR	Phân tích Tiki, Fahasa, Amazon để rút ra bài học và ý tưởng về tính năng, UX/UI.	2025-03-12	2025-03-18	bbfddaeb-dea5-4178-b067-e0fa8812c338	DONE	THEORY	(Không có topic kỹ thuật trực tiếp)	(Không có topic kỹ thuật trực tiếp)	21130444.0	21130509.0	So sánh tính năng - Đánh giá UX - Phân tích chiến lược	MEDIUM	1.0	3438c873-bc50-42c4-a598-1ed31761fe23	21130451		blog-management	Java, JSP, JDBC	
Xác định các module chức năng chính	MAJOR	Liệt kê các module cần thiết như quản lý sách, tìm kiếm nâng cao, đánh giá, đề xuất, quản lý tác giả.	2025-03-15	2025-03-20	bbfddaeb-dea5-4178-b067-e0fa8812c338	DONE	THEORY	(Không có topic kỹ thuật trực tiếp)	(Không có topic kỹ thuật trực tiếp)	21130509.0	21130451.0	Liệt kê module - Phân công trách nhiệm	MEDIUM	1.0	3438c873-bc50-42c4-a598-1ed31761fe23	21130451		diy-guide-management	Java, JSP	
Thiết kế ERD cho danh mục sách & tác giả	CRITICAL	Xây dựng ERD cho bảng sách, tác giả, thể loại, nhà xuất bản, series sách.	2025-03-24	2025-03-30	d74cdee3-a4fc-44b4-bd90-1e53bec5cad1	DONE	PRACTICE	JDBC, JDBI	JDBC, JDBI	21130451.0	21130444.0	Xác định entities - Quan hệ bảng - Thiết kế khóa	HIGH	2.0	3438c873-bc50-42c4-a598-1ed31761fe23	21130451		ticket-management-admin	Java, JDBC	
Thiết kế ERD cho tính năng đánh giá & đề xuất	CRITICAL	Phát triển ERD cho bảng đánh giá, bình luận sản phẩm và cơ chế đề xuất sách cá nhân hóa.	2025-03-26	2025-04-02	d74cdee3-a4fc-44b4-bd90-1e53bec5cad1	DONE	PRACTICE	JDBC, JDBI	JDBC, JDBI	21130444.0	21130509.0	Xác định entities - Quan hệ bảng - Chuẩn hóa	HIGH	2.0	3438c873-bc50-42c4-a598-1ed31761fe23	21130451		cart-management	Java, JS	
Chuẩn hóa CSDL và tối ưu truy vấn ban đầu	MAJOR	Áp dụng các dạng chuẩn và tối ưu hóa truy vấn cho các bảng liên quan đến sách.	2025-03-29	2025-04-05	d74cdee3-a4fc-44b4-bd90-1e53bec5cad1	DONE	THEORY	JDBC, JDBI	JDBC, JDBI	21130509.0	21130451.0	Kiểm tra chuẩn 1NF - Kiểm tra chuẩn 2NF - Đánh giá hiệu suất	MEDIUM	2.0	3438c873-bc50-42c4-a598-1ed31761fe23	21130451		registration-history-ticket-display	JSP, Java	
Thiết kế giao diện trang danh mục sách	MAJOR	Tạo template hiển thị danh sách sách theo thể loại, tác giả, có bộ lọc và phân trang.	2025-04-07	2025-04-12	c4389934-e970-4cab-9330-2d517122d28d	DONE	PRACTICE	HTML, CSS, JS	HTML, CSS, JS	21130451.0	21130444.0	Wireframe - Mockup - Responsive design	MEDIUM	3.0	3438c873-bc50-42c4-a598-1ed31761fe23	21130451		shopping-cart	Java, JS	
Thiết kế giao diện trang tìm kiếm nâng cao	MAJOR	Xây dựng giao diện cho chức năng tìm kiếm với nhiều tiêu chí lọc (giá, NXB, năm xuất bản, định dạng).	2025-04-09	2025-04-15	c4389934-e970-4cab-9330-2d517122d28d	DONE	PRACTICE	HTML, CSS, JS	HTML, CSS, JS	21130444.0	21130509.0	Layout - Filter options - Sorting	MEDIUM	3.0	3438c873-bc50-42c4-a598-1ed31761fe23	21130451		shopping-cart-logic	Java, JS	
Thiết kế giao diện trang chi tiết sách	MAJOR	Phác thảo giao diện hiển thị thông tin chi tiết của một cuốn sách (mô tả, chương, đánh giá).	2025-04-12	2025-04-19	c4389934-e970-4cab-9330-2d517122d28d	DONE	PRACTICE	HTML, CSS, JS	HTML, CSS, JS	21130509.0	21130451.0	Product details - Reviews section - Related books	MEDIUM	3.0	3438c873-bc50-42c4-a598-1ed31761fe23	21130451		order-calculation	Java	
Chuẩn bị tài liệu báo cáo giữa kì	MAJOR	Tổng hợp kết quả làm việc từ sprint 1-3, viết tài liệu báo cáo đầy đủ theo yêu cầu.	2025-04-20	2025-04-24	9000c302-d92f-436d-a59e-c1de271cbe87	DONE	THEORY	(Không có topic kỹ thuật trực tiếp)	(Không có topic kỹ thuật trực tiếp)	21130451.0	21130444.0	Tổng hợp - Viết báo cáo - Chỉnh sửa	MEDIUM	4.0	3438c873-bc50-42c4-a598-1ed31761fe23	21130451		order-history-tracking	JSP, Java	
Chuẩn bị bản demo giao diện chính	MAJOR	Tổng hợp các thiết kế giao diện đã hoàn thành (trang chủ, danh mục, chi tiết sách) để demo.	2025-04-22	2025-04-26	9000c302-d92f-436d-a59e-c1de271cbe87	DONE	PRACTICE	HTML, CSS, JS	HTML, CSS, JS	21130444.0	21130509.0	Setup môi trường - Test demo - Chuẩn bị kịch bản	MEDIUM	4.0	3438c873-bc50-42c4-a598-1ed31761fe23	21130451		authentication-security	Java, JSP, JDBC	
Hiện thực module đăng ký/đăng nhập	CRITICAL	Xây dựng chức năng đăng ký, đăng nhập người dùng, bao gồm mã hóa mật khẩu và kiểm tra thông tin.	2025-04-27	2025-05-01	02d28358-9e5a-4b65-9f56-bac4a0bffc34	INPROCESS	PRACTICE	Java, JSP, JS	Java, JSP, JS	21130509.0	21130451.0	Form đăng ký - Logic đăng nhập - Mã hóa bcrypt	HIGH	5.0	3438c873-bc50-42c4-a598-1ed31761fe23	21130451		authentication-authorization	Java, JSP	
Ứng dụng Session cho người dùng	MAJOR	Sử dụng session để lưu trữ trạng thái đăng nhập, thông tin người dùng và giỏ hàng.	2025-04-28	2025-05-03	02d28358-9e5a-4b65-9f56-bac4a0bffc34	INPROCESS	PRACTICE	Java, JSP	Java, JSP	21130451.0	21130444.0	Khởi tạo session - Lưu dữ liệu - Hủy session	MEDIUM	5.0	3438c873-bc50-42c4-a598-1ed31761fe23	21130451		session-management	Java, JSP	
Xây dựng phân quyền cơ bản	MAJOR	Thiết lập các vai trò (admin, người dùng, nhà xuất bản) và chặn truy cập vào các trang không có quyền.	2025-04-30	2025-05-03	02d28358-9e5a-4b65-9f56-bac4a0bffc34	TODO	PRACTICE	Java, JSP	Java, JSP	21130444.0	21130509.0	Tạo middleware - Kiểm tra quyền - Chuyển hướng	MEDIUM	5.0	3438c873-bc50-42c4-a598-1ed31761fe23	21130451		authorization	Java, JSP	
Hiện thực chức năng tìm kiếm sách nâng cao	MAJOR	Phát triển chức năng tìm kiếm sách theo tên, tác giả, thể loại, nhà xuất bản, năm xuất bản.	2025-05-04	2025-05-07	5b1751c1-f7f6-42f3-b556-2db391f9527a	INPROCESS	PRACTICE	Java, JSP, JDBC, JDBI, JS	Java, JSP, JDBC, JDBI, JS	21130451.0	21130444.0	Query DB - Hiển thị kết quả - Phân trang	MEDIUM	6.0	3438c873-bc50-42c4-a598-1ed31761fe23	21130451		search-filtering	Java, JS	
Xây dựng trang sách bán chạy & đề xuất	MAJOR	Hiện thực logic hiển thị các cuốn sách bán chạy và đề xuất sách cá nhân hóa cho người dùng.	2025-05-06	2025-05-09	5b1751c1-f7f6-42f3-b556-2db391f9527a	TODO	PRACTICE	Java, JSP, JDBC, JDBI, HTML, CSS, JS	Java, JSP, JDBC, JDBI, HTML, CSS, JS	21130444.0	21130509.0	Logic truy vấn - Thiết kế UI - Thuật toán đề xuất	MEDIUM	6.0	3438c873-bc50-42c4-a598-1ed31761fe23	21130451		product-display	HTML, JS, JSP	
Hiện thực giao diện Admin quản lý sách	CRITICAL	Xây dựng trang admin để thêm, sửa, xóa sách, quản lý thông tin tác giả, nhà xuất bản.	2025-05-08	2025-05-10	5b1751c1-f7f6-42f3-b556-2db391f9527a	TODO	PRACTICE	Java, JSP, JDBC, JDBI, HTML, CSS, JS	Java, JSP, JDBC, JDBI, HTML, CSS, JS	21130509.0	21130451.0	Form thêm/sửa - Logic xử lý - Upload ảnh bìa	HIGH	6.0	3438c873-bc50-42c4-a598-1ed31761fe23	21130451		ticket-display	JSP, HTML	
Lưu giỏ hàng trong session & database (tùy chọn)	MAJOR	Hiện thực tính năng thêm sách vào giỏ hàng và lưu trữ thông tin trong session, có thể đồng bộ với DB khi đăng nhập.	2025-05-11	2025-05-14	8bace90b-9f85-46b3-9411-8e098ba21c6e	INPROCESS	PRACTICE	Java, JSP, JDBC, JDBI	Java, JSP, JDBC, JDBI	21130451.0	21130444.0	Thêm vào giỏ - Cập nhật số lượng - Xóa khỏi giỏ	MEDIUM	7.0	3438c873-bc50-42c4-a598-1ed31761fe23	21130451		payment-gateway-integration	Java	
Phân biệt các phiên bản sách trong giỏ hàng	MAJOR	Xử lý logic khi thêm các phiên bản sách khác nhau (bìa cứng, bìa mềm, ebook) vào giỏ hàng.	2025-05-13	2025-05-17	8bace90b-9f85-46b3-9411-8e098ba21c6e	TODO	PRACTICE	Java, JSP	Java, JSP	21130444.0	21130509.0	Logic so sánh - Hiển thị chi tiết - Tổng tiền	MEDIUM	7.0	3438c873-bc50-42c4-a598-1ed31761fe23	21130451		e-ticket-delivery	JSP, Java	
Hiện thực cách tính tiền cho đơn hàng sách	CRITICAL	Xây dựng logic tính toán tổng tiền cho các đơn hàng sách, bao gồm giá bìa, giảm giá, phí ship.	2025-05-18	2025-05-21	55737e22-cac3-411e-96a1-b5b1a1488b61	INPROCESS	PRACTICE	Java	Java	21130509.0	21130451.0	Cộng sản phẩm - Áp dụng voucher - Tính phí ship	HIGH	8.0	3438c873-bc50-42c4-a598-1ed31761fe23	21130451		e-ticket-confirmation	JSP, Java	
Hiển thị lịch sử đơn hàng cho người dùng	MAJOR	Phát triển trang để người dùng có thể xem lại các đơn hàng đã đặt, trạng thái đơn hàng và chi tiết.	2025-05-20	2025-05-24	55737e22-cac3-411e-96a1-b5b1a1488b61	TODO	PRACTICE	Java, JSP, JDBC, JDBI, HTML, CSS, JS	Java, JSP, JDBC, JDBI, HTML, CSS, JS	21130451.0	21130444.0	Truy vấn đơn hàng - Hiển thị bảng - Chi tiết đơn	MEDIUM	8.0	3438c873-bc50-42c4-a598-1ed31761fe23	21130451		documentation	Document	
Quản lý & cập nhật trạng thái đơn hàng (Admin)	CRITICAL	Xây dựng giao diện admin để quản lý, cập nhật trạng thái đơn hàng (đang xử lý, đã đóng gói, đang giao, đã giao).	2025-05-22	2025-05-24	55737e22-cac3-411e-96a1-b5b1a1488b61	TODO	PRACTICE	Java, JSP, JDBC, JDBI, HTML, CSS, JS	Java, JSP, JDBC, JDBI, HTML, CSS, JS	21130444.0	21130509.0	Bảng đơn hàng - Chức năng update - Lịch sử thay đổi	HIGH	8.0	3438c873-bc50-42c4-a598-1ed31761fe23	21130451		user-manual-documentation	Document	
Tích hợp chức năng đánh giá và bình luận sách	MAJOR	Hiện thực tính năng cho phép người dùng đánh giá và bình luận về từng cuốn sách.	2025-05-25	2025-05-28	00f6f2eb-2153-40a6-b2f3-8f4837ba3a3c	INPROCESS	PRACTICE	Java, JSP, JDBC, JDBI, HTML, CSS, JS	Java, JSP, JDBC, JDBI, HTML, CSS, JS	21130509.0	21130451.0	Form đánh giá - Hiển thị review - Phân loại sao	MEDIUM	9.0	3438c873-bc50-42c4-a598-1ed31761fe23	21130451		final-demo-preparation	Document, Presentation	
Xây dựng module đề xuất sách cá nhân hóa	CRITICAL	Phát triển thuật toán hoặc logic để đề xuất sách dựa trên lịch sử xem, mua hàng của người dùng.	2025-05-27	2025-05-31	00f6f2eb-2153-40a6-b2f3-8f4837ba3a3c	TODO	PRACTICE	Java, JDBC, JDBI	Java, JDBC, JDBI	21130451.0	21130444.0	Thuật toán - Tích hợp dữ liệu - Test A/B	HIGH	9.0	3438c873-bc50-42c4-a598-1ed31761fe23	21130451		presentation	Presentation	
Chuẩn bị tài liệu hướng dẫn sử dụng & quản trị	MAJOR	Viết tài liệu chi tiết hướng dẫn người dùng cuối và quản trị viên sử dụng nền tảng sách.	2025-06-01	2025-06-04	14d6b9c2-92f2-4ebb-8ef6-fa89a0233449	INPROCESS	THEORY	(Không có topic kỹ thuật trực tiếp)	(Không có topic kỹ thuật trực tiếp)	21130444.0	21130509.0	Hướng dẫn user - Hướng dẫn admin - Chụp màn hình	MEDIUM	10.0	3438c873-bc50-42c4-a598-1ed31761fe23	21130451				
Chuẩn bị demo website hoàn chỉnh	CRITICAL	Kiểm tra toàn bộ các tính năng, đảm bảo website hoạt động ổn định và sẵn sàng cho buổi báo cáo cuối kì.	2025-06-03	2025-06-07	14d6b9c2-92f2-4ebb-8ef6-fa89a0233449	TODO	PRACTICE	Java, JSP, JDBC, JDBI, HTML, CSS, JS	Java, JSP, JDBC, JDBI, HTML, CSS, JS	21130509.0	21130451.0	Test chức năng - Fix bugs - Tối ưu hiệu suất	HIGH	10.0	3438c873-bc50-42c4-a598-1ed31761fe23	21130451				
Nghiên cứu đặc thù sản phẩm điện tử	MAJOR	Tìm hiểu các thông số kỹ thuật, chu kỳ sống, chính sách bảo hành, hỗ trợ kỹ thuật của đồ điện tử.	2025-03-10	2025-03-15	bbfddaeb-dea5-4178-b067-e0fa8812c338	DONE	THEORY	(Không có topic kỹ thuật trực tiếp)	(Không có topic kỹ thuật trực tiếp)	21130601.0	21130612.0	Khảo sát ngành - Thu thập thông số - Phân loại sản phẩm	LOW	1.0	a8eb1192-3e81-42e8-9f69-8483736af936	21130601				
Phân tích các tính năng lọc và so sánh	MAJOR	Nghiên cứu cách các trang web lớn xử lý bộ lọc sản phẩm theo thông số và tính năng so sánh đa chiều.	2025-03-12	2025-03-18	bbfddaeb-dea5-4178-b067-e0fa8812c338	DONE	THEORY	(Không có topic kỹ thuật trực tiếp)	(Không có topic kỹ thuật trực tiếp)	21130612.0	21130219.0	Phân tích bộ lọc - Phân tích so sánh - Đánh giá UX	MEDIUM	1.0	a8eb1192-3e81-42e8-9f69-8483736af936	21130601				
